Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CHI,Caleb Williams,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,WillCa03
1,2,WAS,Jayden Daniels,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,DaniJa02
1,3,NWE,Drake Maye,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats,MayeDr00
1,4,ARI,Marvin Harrison,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HarrMa09
1,5,LAC,Joe Alt,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,AltxJo01
1,6,NYG,Malik Nabers,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,NabeMa00
1,7,TEN,JC Latham,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,LathJC00
1,8,ATL,Michael Penix,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,PeniMi00
1,9,CHI,Rome Odunze,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,OdunRo00
1,10,MIN,J.J. McCarthy,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,McCaJJ00
1,11,NYJ,Olumuyiwa Fashanu,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,FashOl00
1,12,DEN,Bo Nix,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,NixxBo00
1,13,LVR,Brock Bowers,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BoweBr01
1,14,NOR,Taliese Fuaga,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.,College Stats,FuagTa00
1,15,IND,Laiatu Latu,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,LatuLa00
1,16,SEA,Byron Murphy,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,MurpBy01
1,17,MIN,Dallas Turner,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,TurnDa01
1,18,CIN,Amarius Mims,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,MimsAm00
1,19,LAR,Jared Verse,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,VersJa00
1,20,PIT,Troy Fautanu,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,FautTr00
1,21,MIA,Chop Robinson,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,RobiCh00
1,22,PHI,Quinyon Mitchell,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Toledo,College Stats,MitcQu00
1,23,JAX,Brian Thomas,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,ThomBr06
1,24,DET,Terrion Arnold,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,ArnoTe00
1,25,GNB,Jordan Morgan,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,MorgJo03
1,26,TAM,Graham Barton,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Duke,College Stats,BartGr00
1,27,ARI,Darius Robinson,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,RobiDa01
1,28,KAN,Xavier Worthy,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,WortXa00
1,29,DAL,Tyler Guyton,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,GuytTy00
1,30,BAL,Nate Wiggins,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,WiggNa00
1,31,SFO,Ricky Pearsall,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,PearRi00
1,32,CAR,Xavier Legette,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,LegeXa00
2,33,BUF,Keon Coleman,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,ColeKe02
2,34,LAC,Ladd McConkey,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,McCoLa00
2,35,ATL,Ruke Orhorhoro,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,OrhoRu00
2,36,WAS,Jer'Zhan Newton,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,NewtJe00
2,37,NWE,Ja'Lynn Polk,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,PolkJa00
2,38,TEN,T'Vondre Sweat,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,SweaTV01
2,39,LAR,Braden Fiske,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,FiskBr00
2,40,PHI,Cooper DeJean,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,DeJeCo00
2,41,NOR,Kool-Aid McKinstry,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,McKiKo00
2,42,HOU,Kamari Lassiter,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,LassKa00
2,43,ARI,Max Melton,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats,MeltMa00
2,44,LVR,Jackson Powers-Johnson,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,PoweJa00
2,45,GNB,Edgerrin Cooper,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,CoopEd00
2,46,CAR,Jonathon Brooks,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,BrooJo02
2,47,NYG,Tyler Nubin,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota,College Stats,NubiTy00
2,48,JAX,Maason Smith,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,SmitMa07
2,49,CIN,Kris Jenkins,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,JenkKr01
2,50,WAS,Mike Sainristil,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,SainMi00
2,51,PIT,Zach Frazier,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats,FrazZa00
2,52,IND,Adonai Mitchell,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,MitcAd00
2,53,WAS,Ben Sinnott,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,SinnBe00
2,54,CLE,Michael Hall,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HallMi00
2,55,MIA,Patrick Paul,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats,PaulPa01
2,56,DAL,Marshawn Kneeland,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Western Michigan,College Stats,KneeMa00
2,57,TAM,Chris Braswell,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BrasCh01
2,58,GNB,Javon Bullard,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BullJa00
2,59,HOU,Blake Fisher,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,FishBl00
2,60,BUF,Cole Bishop,SAF,21,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,BishCo00
